,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 507, Cook County, Illinois","1,208",623,58,49,61,455,585,0,36,70,479
"Census Tract 508, Cook County, Illinois",932,471,20,54,28,369,461,16,31,29,385
"Census Tract 509, Cook County, Illinois",963,499,0,22,69,408,464,13,29,65,357
"Census Tract 510, Cook County, Illinois",937,481,0,37,123,321,456,29,41,25,361
"Census Tract 511, Cook County, Illinois",911,514,5,72,28,409,397,7,5,21,364
"Census Tract 512, Cook County, Illinois",918,455,0,11,77,367,463,32,27,28,376
"Census Tract 513, Cook County, Illinois","1,653",869,0,22,62,785,784,0,49,56,679
"Census Tract 514, Cook County, Illinois","1,196",638,13,30,218,377,558,0,69,69,420
"Census Tract 601, Cook County, Illinois","1,433",694,0,27,104,563,739,0,12,163,564
"Census Tract 602, Cook County, Illinois","1,325",615,6,61,124,424,710,14,6,67,623
"Census Tract 603, Cook County, Illinois","1,947",989,4,74,116,795,958,4,86,24,844
"Census Tract 604, Cook County, Illinois","2,176",991,0,15,124,852,"1,185",7,16,95,"1,067"
"Census Tract 605, Cook County, Illinois",636,360,42,54,77,187,276,0,59,14,203
"Census Tract 608, Cook County, Illinois","3,240","1,501",0,80,228,"1,193","1,739",11,109,158,"1,461"
"Census Tract 609, Cook County, Illinois","4,024","1,842",96,171,230,"1,345","2,182",33,228,373,"1,548"
"Census Tract 610, Cook County, Illinois",897,609,0,34,68,507,288,0,6,13,269
"Census Tract 611, Cook County, Illinois",775,435,5,17,59,354,340,4,21,59,256
"Census Tract 612, Cook County, Illinois","1,234",613,0,4,47,562,621,9,4,19,589
"Census Tract 615, Cook County, Illinois","1,206",580,27,62,74,417,626,39,15,68,504
"Census Tract 618, Cook County, Illinois",586,379,0,22,90,267,207,10,0,6,191
"Census Tract 619.01, Cook County, Illinois","2,277","1,077",56,0,261,760,"1,200",0,88,58,"1,054"
"Census Tract 619.02, Cook County, Illinois","2,699","1,440",15,60,134,"1,231","1,259",0,26,257,976
"Census Tract 620, Cook County, Illinois","1,927","1,019",0,72,211,736,908,12,84,67,745
"Census Tract 621, Cook County, Illinois","2,166","1,386",9,27,317,"1,033",780,19,55,27,679
"Census Tract 622, Cook County, Illinois","1,916","1,044",0,70,104,870,872,32,27,47,766
"Census Tract 623, Cook County, Illinois","1,098",601,12,46,26,517,497,0,5,43,449
"Census Tract 624, Cook County, Illinois","1,035",483,0,42,33,408,552,7,21,50,474
"Census Tract 625, Cook County, Illinois",926,521,0,0,28,493,405,0,13,32,360
"Census Tract 626, Cook County, Illinois","1,223",583,0,22,75,486,640,6,8,53,573
"Census Tract 627, Cook County, Illinois","1,654",840,2,22,131,685,814,47,34,76,657
"Census Tract 628, Cook County, Illinois","2,194","1,124",16,39,89,980,"1,070",7,18,82,963
"Census Tract 629, Cook County, Illinois","2,485","1,273",7,94,130,"1,042","1,212",7,12,52,"1,141"
"Census Tract 630, Cook County, Illinois","1,914",919,5,57,15,842,995,0,2,115,878
"Census Tract 631, Cook County, Illinois","1,489",719,0,65,87,567,770,0,46,88,636
"Census Tract 632, Cook County, Illinois","3,986","2,056",15,129,280,"1,632","1,930",32,111,72,"1,715"
"Census Tract 633.01, Cook County, Illinois","1,535",691,8,35,45,603,844,0,67,167,610
"Census Tract 633.02, Cook County, Illinois","2,582","1,252",13,134,109,996,"1,330",13,14,106,"1,197"
"Census Tract 633.03, Cook County, Illinois",964,448,1,15,79,353,516,71,58,77,310
"Census Tract 634, Cook County, Illinois","1,382",564,0,18,109,437,818,0,9,81,728
"Census Tract 701.01, Cook County, Illinois","2,684","1,197",49,58,162,928,"1,487",0,98,245,"1,144"
"Census Tract 701.02, Cook County, Illinois","1,372",756,27,27,163,539,616,10,29,77,500
"Census Tract 701.03, Cook County, Illinois",906,486,0,0,25,461,420,0,9,0,411
"Census Tract 702, Cook County, Illinois","2,268","1,229",3,41,164,"1,021","1,039",0,60,133,846
"Census Tract 703, Cook County, Illinois","1,879",941,0,63,57,821,938,0,17,9,912
"Census Tract 704, Cook County, Illinois","1,905","1,117",103,43,43,928,788,45,15,61,667
"Census Tract 705, Cook County, Illinois","1,754",784,19,48,97,620,970,27,69,93,781
"Census Tract 706, Cook County, Illinois","1,829",966,0,13,83,870,863,0,5,14,844
"Census Tract 707, Cook County, Illinois","1,974",984,19,34,74,857,990,21,36,60,873
"Census Tract 710, Cook County, Illinois","1,248",697,0,43,129,525,551,7,13,14,517
"Census Tract 711, Cook County, Illinois","1,510",692,0,32,19,641,818,0,43,45,730
"Census Tract 712, Cook County, Illinois","1,077",536,0,10,37,489,541,0,17,109,415
"Census Tract 713, Cook County, Illinois","2,302","1,062",0,15,15,"1,032","1,240",13,34,20,"1,173"
"Census Tract 714, Cook County, Illinois","2,957","1,261",67,100,65,"1,029","1,696",25,72,180,"1,419"
"Census Tract 715, Cook County, Illinois","3,991","1,767",0,75,62,"1,630","2,224",17,16,146,"2,045"
"Census Tract 716, Cook County, Illinois","1,084",578,10,0,48,520,506,0,20,59,427
"Census Tract 717, Cook County, Illinois","1,026",504,0,12,30,462,522,0,34,49,439
"Census Tract 718, Cook County, Illinois","1,532",809,0,9,16,784,723,10,10,95,608
"Census Tract 801, Cook County, Illinois","5,186","2,307",58,50,53,"2,146","2,879",0,191,384,"2,304"
"Census Tract 802.01, Cook County, Illinois","2,697","1,128",0,78,127,923,"1,569",76,26,384,"1,083"
"Census Tract 802.02, Cook County, Illinois","2,639","1,038",30,33,16,959,"1,601",0,15,119,"1,467"
"Census Tract 803, Cook County, Illinois","2,821","1,302",0,45,144,"1,113","1,519",15,13,180,"1,311"
"Census Tract 804, Cook County, Illinois","1,390",685,0,52,11,622,705,18,0,80,607
"Census Tract 810, Cook County, Illinois","3,659","1,644",6,170,288,"1,180","2,015",107,203,505,"1,200"
"Census Tract 811, Cook County, Illinois","2,374","1,107",51,31,152,873,"1,267",0,30,278,959
"Census Tract 812.01, Cook County, Illinois","2,595","1,058",1,17,128,912,"1,537",15,42,208,"1,272"
"Census Tract 812.02, Cook County, Illinois","2,270","1,087",9,57,90,931,"1,183",8,102,333,740
"Census Tract 813, Cook County, Illinois","3,482","1,536",0,119,177,"1,240","1,946",0,44,376,"1,526"
"Census Tract 814.01, Cook County, Illinois","1,484",683,0,10,73,600,801,32,52,123,594
"Census Tract 814.02, Cook County, Illinois","2,900","1,382",20,8,357,997,"1,518",28,124,119,"1,247"
"Census Tract 814.03, Cook County, Illinois","4,145","2,418",0,0,318,"2,100","1,727",0,20,170,"1,537"
"Census Tract 815, Cook County, Illinois","2,797","1,424",0,29,99,"1,296","1,373",0,104,182,"1,087"
"Census Tract 816, Cook County, Illinois","1,931",920,0,26,100,794,"1,011",0,22,206,783
"Census Tract 817, Cook County, Illinois","1,962","1,053",16,0,29,"1,008",909,0,6,102,801
"Census Tract 818, Cook County, Illinois","5,405","2,308",0,54,171,"2,083","3,097",0,18,167,"2,912"
