,level_0,index, community_id,Median_household_income,Mean_household_income,Median_family_income,Mean_family_income,Per_capita_income,18_25_no_high_diploma,25_over_less_than_9th_grade,25_over_9_12_grade_wno_diploma,25_plus_poverty_rate,male_less_than_hs_diploma,male_hs,male_college,male_b_or_more,female_less_than_hs_diploma,female_hs,female_college,female_b_or_more,MALE_LESS_THAN_HS_DIPLOMA,MALE_HS,MALE_COLLEGE,MALE_B_OR_MORE,FEMALE_LESS_THAN_HS_DIPLOMA,FEMALE_HS,FEMALE_COLLEGE,FEMALE_B_OR_MORE,Crime Rate,Total_Population,White_Prop,Black_Prop,SES
0,28,52,53.0,37258.89,47839.89,42427.56,52456.78,4892.151326933936,0.31420597264861844,0.056691620502071174,0.1223536457553526,0.339761441333533,0.0,20.242424242424242,5.21969696969697,4.098484848484849,2.608108108108108,36.95945945945946,32.72072072072072,0.0,211.47759155803848,376.94562383612663,345.12389819987584,107.12936064556176,208.7508843790728,427.71308881027744,548.1034258052504,263.09802643827965,0.1359872012045925,31878.0,0.04259991216512956,0.9357864357864358,62
1,30,43,44.0,34945.3,45492.5,43648.2,55158.9,6437.621058647953,0.15791963015647226,0.03442801878972092,0.09686469558809985,0.39421110804089526,0.0,4.622641509433962,6.773584905660377,1.150943396226415,12.671641791044776,32.1865671641791,8.425373134328359,0.014925373134328358,143.28854080791427,311.17159345189026,299.804027794135,184.01978565539983,174.88309437529543,324.5259965337955,536.89144477706,443.5562470458484,0.19829803448385355,31493.0,0.007017432445305306,0.9765979741529863,60
2,31,41,42.0,25740.73,40057.64,35088.91,50073.73,7331.18541511139,0.1314345755113477,0.023833421260881036,0.1422421524663677,0.5133058559746769,0.0,0.8972602739726028,12.858447488584474,73.92465753424658,2.78343949044586,3.830148619957537,5.2165605095541405,59.76433121019108,118.73007044864664,144.61642565813867,243.04412309974046,99.23081201334817,142.88549241957352,202.6388512264267,363.02896585726614,255.66202391223962,0.1631762995560096,25451.0,0.08793367647636635,0.8566264586853168,58
3,32,37,38.0,29066.67,42742.6,33732.13,52852.27,13028.050241888954,0.27235485369252205,0.04151708675861132,0.11707588830762959,0.4876003804606291,0.0,3.8597285067873304,6.158371040723982,23.199095022624434,4.614420062695925,13.38871473354232,11.507836990595612,18.448275862068964,91.29103214890017,114.43448016544463,160.67324685091182,109.82816318856928,107.31910519951633,189.47388149939542,275.58234582829505,205.89044740024184,0.15445386356575386,22531.0,0.03772580000887666,0.9237938839820692,57
4,34,42,43.0,27731.07,40814.13,35271.67,49022.53,5728.2243526712555,0.19025444805815955,0.04013923452512207,0.10394172310600094,0.48573602142069616,4.213615023474178,12.173708920187794,21.537558685446008,23.03286384976526,6.263888888888889,18.519444444444446,15.994444444444444,19.57777777777778,123.11812113318138,302.23957994138715,367.53801693259527,167.2288342559427,198.10151436632694,322.15909483503196,516.8667012149479,304.51471180975415,0.18901589642740085,48816.0,0.025032776138970828,0.9431948541461815,55
5,36,48,49.0,40067.43,49400.36,47276.93,54763.29,5713.782275735875,0.23076635924462013,0.040728996062306164,0.12083946057079137,0.3262692964421368,5.197183098591549,2.288732394366197,16.3943661971831,6.176056338028169,12.779569892473118,9.63978494623656,5.032258064516129,13.634408602150538,199.9192699490662,325.01612903225805,354.25780984719864,132.39847198641766,173.1787022663769,321.7816206147159,519.1839180378764,296.59174169512573,0.1656990534709829,44267.0,0.013644475568708066,0.9728691802019563,52
6,37,49,50.0,36454.0,44250.33,39948.67,49485.33,8628.263988522238,0.21580827067669173,0.06627486077963406,0.0915612569610183,0.3129713603818616,16.00729927007299,62.13868613138686,51.78832116788321,113.93430656934306,28.862745098039216,15.995098039215685,67.6470588235294,54.681372549019606,130.01736806947227,249.09819639278558,265.82698730794925,100.1750167000668,103.51805397187381,285.7711896617256,581.0266058532877,241.8365640440897,0.17374461979913916,6970.0,0.13701578192252512,0.8282639885222381,51
7,39,72,73.0,42825.62,52579.0,51102.0,59607.25,6033.81880083223,0.13785446595877576,0.03264742717124966,0.07791668935475089,0.23544622924040295,0.0,1.7419354838709677,16.70967741935484,0.45161290322580644,6.171428571428572,12.342857142857143,27.857142857142858,6.171428571428572,138.66568087108482,386.7221400725904,360.0750100820003,153.59147734910607,154.8566276803119,409.22378167641324,610.9778752436647,345.2785575048733,0.12018157745413278,26435.0,0.012899564970682807,0.9633062228106677,48
8,40,34,35.0,31194.8,45962.6,51307.1,59748.5,11078.435409161091,0.05361290322580645,0.03898328908324223,0.10565125722317664,0.5380126503201624,8.026365348399247,7.314500941619586,24.370998116760827,37.005649717514125,15.225402504472273,19.153846153846153,13.508050089445439,45.96422182468694,61.01765557163531,123.36931982633864,122.47033285094066,153.62807525325616,128.86982156710627,156.2453064391001,299.4010861132661,272.7435221101629,0.1310344827586207,19430.0,0.13268142048378795,0.7119917653113742,47
9,45,44,45.0,44259.0,57760.5,53403.5,64711.5,4655.377302436125,0.08006465517241379,0.03,0.08,0.1061443468715697,0.0,79.49032258064516,0.0,12.490322580645161,0.0,29.12121212121212,0.0,0.12121212121212122,191.61361457334613,445.36593160754234,751.2502396931927,263.0661553211889,179.60829015544041,377.02694300518135,916.621243523316,572.1756476683938,0.1473559120617944,10098.0,0.026143790849673203,0.9641513170924936,41
